"synthetic_age","synthetic_always_lonely","synthetic_baseline_wellbeing","synthetic_community_cohesion","synthetic_eth_minority","synthetic_financial_crisis","synthetic_health_condition","synthetic_imd_decile_2019","synthetic_income_decrease","synthetic_lonely","synthetic_sex","synthetic_wave_1","synthetic_wave_4","synthetic_Weights"
85,4,1,18,0,1,1,"7",1,1,1,0,1,0.792318657339258
30,4,1,12,0,1,0,"5",1,1,1,11,6,0.572006819150752
54,4,1,17,0,1,0,"9",1,0,1,9,11,0.55708472019425
86,3,1,4,0,0,1,"10",1,0,0,2,2,1.80910522365336
32,4,4,11,1,0,1,"6",0,1,1,5,0,0.828205278389586
34,1,0,18,0,0,0,"10",0,1,1,2,2,0.747320811541875
57,4,1,6,0,1,1,"5",0,1,1,8,3,0.96242879929988
81,1,4,11,0,1,0,"6",1,1,0,7,2,0.397597838024632
54,0,2,14,0,0,0,"6",0,0,1,2,4,0.720650512345064
36,0,0,8,0,0,0,"10",0,1,0,0,0,2.24043087857603
63,4,1,4,1,1,0,"9",1,0,1,5,0,0.841956369339442
68,4,1,17,0,1,1,"9",1,1,1,1,0,1.05542310442396
69,1,0,9,0,1,1,"10",0,0,1,2,0,0.838560419526981
39,1,0,4,0,0,1,"5",1,1,0,0,0,0.80660447661029
33,0,1,7,1,0,0,"7",1,1,1,1,2,0.968515582504381
38,4,0,10,0,0,0,"6",0,1,0,0,0,1.01243839780545
20,0,0,13,0,0,0,"4",1,0,1,0,0,1.50789631071355
88,1,0,18,0,1,0,"8",1,0,1,0,0,0.932289807554985
47,0,0,9,1,0,0,"10",0,1,1,0,2,0.823813773653914
82,1,0,17,0,1,0,"10",1,1,1,3,1,1.53628117300273
39,0,0,15,0,0,1,"4",1,1,1,0,1,1.61471934972544
49,0,0,15,0,0,1,"3",0,0,1,0,0,1.37377097892027
78,3,0,20,0,1,1,"2",0,1,0,0,1,1.25912594468494
74,1,1,19,0,1,0,"8",1,0,1,8,12,0.758836552018964
29,4,0,8,0,0,1,"6",0,0,0,0,0,0.940668804963431
23,1,2,19,0,0,0,"8",1,0,1,2,0,0.809659679150882
54,3,0,9,0,0,0,"10",0,0,0,1,2,1.34959467309388
45,2,0,5,0,1,1,"7",1,1,1,10,10,0.730799977850874
62,0,0,18,0,0,0,"7",0,0,1,2,0,1.31534249988581
29,4,12,14,0,0,0,"3",0,1,1,8,10,0.428308527852549
48,4,2,10,0,1,1,"5",1,1,1,7,4,0.716962142268281
25,0,0,11,0,0,0,"7",0,1,1,3,5,1.13533611058115
86,3,1,7,0,0,1,"8",0,1,0,0,4,1.12709609047769
83,2,1,12,0,1,0,"8",1,0,1,1,0,0.922467251264971
90,2,0,5,0,1,0,"9",0,1,1,0,0,0.775121358711417
50,2,0,17,0,0,1,"1",0,1,1,0,0,0.811338032159596
34,3,0,9,0,0,1,"8",0,0,0,0,0,1.10230599388573
72,0,5,11,0,1,1,"3",1,0,0,0,0,1.66576823775871
68,2,0,16,1,0,0,"5",0,0,1,0,1,2.07786609780678
20,3,1,6,0,0,0,"2",0,1,1,4,2,1.39068869604927
20,0,1,13,0,0,1,"9",0,1,1,1,0,0.715030450496779
44,0,0,-99,0,1,1,"10",0,0,0,1,3,2.09616184273693
86,2,1,10,0,1,0,"4",1,0,1,1,1,0.482149742581737
20,4,0,5,1,1,1,"9",1,1,1,10,9,0.659088895730975
31,2,0,12,0,0,1,"5",0,1,1,1,0,0.898742073206759
33,3,1,20,0,0,1,"5",0,0,1,2,0,1.98097758534434
78,4,12,18,0,1,1,"7",0,0,0,1,3,1.17686253644168
49,4,1,11,0,1,1,"10",0,1,1,10,5,1.03913602291382
53,0,0,6,0,0,1,"6",0,0,0,0,1,0.996555134607131
58,0,1,9,1,0,0,"6",0,0,1,5,6,0.943241874342686
44,1,0,4,0,0,0,"8",1,1,0,0,1,0.822020504842746
30,1,10,12,0,0,0,"8",1,0,1,4,1,0.801334332804974
19,0,1,7,0,0,1,"7",0,0,1,1,0,1.27243007542269
20,4,0,9,0,0,0,"3",0,1,1,4,3,1.44301199763624
24,0,0,15,0,0,1,"7",1,1,1,0,0,1.01675087777839
33,0,0,4,0,0,0,"4",0,1,1,0,1,0.750523984203884
30,2,0,12,0,0,0,"6",0,0,1,0,1,0.816734062333829
46,3,0,9,0,0,0,"9",0,1,0,0,0,1.22289663110621
72,1,1,13,-99,1,0,"10",0,1,0,1,0,2.09710164199335
77,0,0,15,0,1,0,"3",0,0,0,0,2,1.24037718827839
34,3,2,5,1,0,1,"4",0,1,1,4,2,0.984450701572537
79,1,1,9,0,1,1,"6",0,0,1,6,6,0.389599677925625
74,0,0,16,0,1,1,"7",0,0,0,0,0,0.962776769721749
19,1,0,7,1,0,0,"7",0,0,0,2,1,0.94904594389414
57,0,1,17,0,0,0,"1",1,1,1,1,0,0.930363041406751
38,1,1,19,0,0,0,"8",0,1,1,2,2,0.852285274121418
34,0,1,19,0,1,0,"7",0,0,0,1,3,0.406955667585618
74,4,1,8,0,1,0,"2",1,0,1,3,1,1.18042980397742
84,3,1,15,0,1,1,"7",1,0,0,1,4,1.13690363401794
53,1,0,17,0,0,0,"2",1,0,1,0,0,0.596328366288333
42,0,0,10,0,0,1,"2",0,0,1,5,8,0.896610164859324
79,4,0,10,0,0,0,"7",0,1,0,0,0,0.83439953445699
82,4,0,15,0,1,0,"7",1,1,1,2,0,1.23116662806359
75,1,0,16,0,1,1,"3",0,1,0,1,9,0.555314155276027
25,4,0,8,0,1,1,"8",0,1,1,12,12,0.38057301650433
40,4,2,8,0,0,0,"6",1,0,0,0,0,0.60590223822141
59,2,0,17,0,1,1,"6",1,0,0,1,2,1.11685072960158
24,3,0,6,0,0,0,"8",0,1,0,12,7,0.583281075548777
55,3,4,4,1,1,1,"5",1,1,1,11,5,0.594614446980302
30,2,0,4,0,0,0,"9",0,0,0,2,1,0.589272733808222
26,2,0,11,0,0,1,"4",0,0,1,0,0,2.04145254088716
65,2,0,7,0,1,1,"4",1,1,1,2,0,1.00060870930595
92,0,2,16,0,1,1,"10",1,0,1,1,0,0.931594210311761
55,4,0,6,0,0,1,"5",0,1,0,2,0,1.68681264688274
22,1,1,11,1,0,0,"8",0,0,0,0,3,1.13749226266009
34,1,3,9,0,0,0,"10",0,0,1,0,1,0.964760791617798
33,4,0,12,0,0,1,"3",0,0,0,0,1,0.635052759398062
52,0,0,19,0,0,0,"3",0,1,1,0,0,1.21789253871683
22,3,4,13,0,1,1,"2",1,1,0,12,2,0.353694048500959
39,1,0,12,0,0,0,"10",0,1,1,0,0,0.763229015018392
43,1,1,17,0,1,1,"7",1,0,0,3,1,1.00643549802885
90,2,1,12,0,1,0,"10",0,1,1,2,1,0.703803179051209
27,0,1,9,0,0,0,"5",1,1,1,2,2,0.676095751998876
42,3,0,16,0,0,0,"2",0,0,1,2,0,1.23498186308232
71,2,2,5,0,0,0,"9",0,0,0,2,9,0.810840769719336
87,4,2,13,1,1,1,"8",0,0,1,5,0,0.705785165611481
37,1,0,17,0,0,1,"5",0,0,1,2,2,0.997005073838994
53,1,0,17,0,1,0,"5",1,1,0,0,2,0.951330783865957
19,0,2,8,0,0,1,"6",0,0,1,2,0,0.916239415512812
87,1,0,5,0,1,1,"9",0,0,1,1,1,1.37900227610861
57,4,2,11,0,1,1,"9",1,1,1,6,4,0.681035976780577
56,3,3,18,0,1,0,"8",0,0,0,10,8,0.597860757835001
40,2,0,8,0,0,1,"10",1,0,0,0,1,1.42314734839855
31,0,3,5,0,0,1,"9",0,0,0,1,0,0.617698559089955
84,3,1,16,0,1,1,"5",1,1,0,2,0,1.18816459570076
50,3,2,18,0,1,0,"5",1,0,0,3,2,1.39623980817487
92,1,0,6,0,1,0,"8",0,1,1,4,3,0.666690693119363
21,1,1,12,0,0,1,"4",0,1,1,3,0,0.860709773129908
68,4,0,17,0,1,1,"2",1,0,0,2,0,0.81482432876103
85,4,0,17,0,1,0,"5",1,1,1,5,2,0.895760889361135
38,1,0,13,1,0,1,"3",0,1,1,2,4,0.802354190722577
40,4,2,14,0,0,1,"2",0,1,1,4,0,0.838393493067776
33,2,0,12,0,0,1,"5",0,1,1,3,0,1.05226878822025
75,3,3,5,0,0,0,"10",1,1,0,0,2,0.994734679028943
52,3,11,9,0,0,0,"4",0,1,1,6,5,0.774353156652973
83,2,7,12,1,1,1,"4",1,0,0,7,10,0.746598161024196
66,1,2,12,0,1,1,"1",0,0,0,8,5,0.662548069921752
55,3,2,12,0,1,1,"2",1,1,1,12,9,1.18774556204393
85,2,0,9,0,1,1,"4",0,0,1,0,2,1.01642568556756
19,4,6,13,0,0,1,"2",0,1,1,9,7,1.05909272166657
40,1,0,6,1,0,1,"8",0,0,1,0,1,1.44155908120768
77,3,1,5,0,1,0,"2",0,1,1,6,0,0.698141914921514
53,3,0,18,0,0,0,"1",0,1,1,0,0,0.854006600867193
49,3,1,4,0,0,1,"6",1,1,0,1,2,0.797067467434646
21,2,1,11,0,0,1,"5",0,1,1,1,1,0.239636486989966
19,0,0,11,0,0,1,"7",0,0,1,1,1,1.14887427884838
82,0,0,6,0,0,0,"6",0,0,0,1,1,0.66885611041202
53,0,3,6,0,1,1,"6",1,1,1,11,12,0.856006582485621
80,4,1,14,0,1,1,"4",0,1,1,6,4,0.773987514047795
31,0,2,19,0,0,0,"10",1,0,1,1,1,1.20946057517989
87,2,3,4,0,1,0,"5",0,1,1,5,0,0.782084160932845
43,0,1,20,0,0,0,"5",1,1,1,2,6,0.425686928302051
53,4,0,8,0,0,0,"8",1,1,0,1,1,0.9955674889297
83,2,0,15,0,1,1,"4",1,1,0,0,3,0.988328692183648
87,0,4,14,0,0,0,"1",0,0,1,0,2,0.966987341526011
36,1,0,10,0,0,0,"1",0,0,1,0,0,1.51202985032367
78,1,2,14,0,1,1,"3",1,0,0,2,1,1.13794335029013
82,0,0,16,0,1,1,"9",1,0,0,0,0,1.38180478577751
77,3,4,15,0,1,1,"6",1,1,1,9,5,1.05018017629025
47,1,0,10,0,0,0,"4",0,0,1,0,0,1.18336094823886
71,4,9,16,0,1,1,"5",0,0,0,4,2,1.17447970049074
42,1,2,10,1,0,0,"3",1,0,1,3,3,1.07969026890574
25,2,0,16,0,1,1,"1",1,1,0,0,0,1.72828429749647
64,0,0,6,0,0,1,"9",0,0,0,0,0,0.57437639985942
76,1,1,16,0,1,1,"4",1,1,0,2,0,0.686460363181538
57,4,1,19,0,1,1,"9",1,0,1,5,0,1.02550379716338
26,4,2,6,0,0,1,"8",1,1,0,4,4,0.504130070618986
84,0,2,11,0,1,1,"5",1,0,0,3,2,1.09518796274056
84,2,2,12,1,1,0,"10",1,1,1,7,3,0.825985578889377
17,4,3,10,0,0,0,"9",0,1,0,7,12,0.592995953120296
40,0,1,11,0,0,1,"3",0,0,1,7,8,0.458687320071092
83,4,2,15,0,1,0,"7",1,1,1,6,1,0.804781072146959
27,0,1,4,0,0,0,"7",0,1,1,2,1,1.01541619388086
87,0,1,6,0,1,0,"6",1,0,1,0,1,1.64459152957704
65,4,12,5,0,1,0,"6",1,1,1,12,8,0.70138135187279
73,2,0,8,0,1,1,"6",0,1,1,2,0,1.45295959940646
47,1,0,15,0,0,1,"2",0,0,1,0,0,1.51321779816744
76,0,2,11,0,1,0,"10",1,1,1,9,12,0.638257956419837
28,0,0,10,0,0,0,"6",0,1,1,0,0,0.957552607698991
29,1,1,12,0,0,0,"8",0,0,1,3,2,0.950190802834701
29,3,0,19,0,1,0,"1",0,1,0,3,0,0.544379220467468
30,1,0,16,0,0,0,"5",1,1,1,3,4,0.731704231600283
82,1,2,10,0,1,1,"9",0,0,1,0,0,1.4177415667846
79,2,1,15,0,1,1,"9",0,0,1,0,0,1.77881564953566
63,2,10,12,0,1,1,"8",1,1,1,9,9,0.528039997043421
44,3,1,11,0,0,0,"7",0,0,0,1,0,0.457076741714352
72,0,1,14,0,1,1,"8",1,0,0,0,1,1.38472967028937
83,1,0,17,0,1,0,"8",1,1,0,1,5,1.50145348805025
87,0,1,-99,0,1,1,"8",0,0,1,10,3,0.73833416675554
88,1,1,4,0,1,0,"10",0,0,1,1,0,2.45726443484029
48,1,0,20,0,1,0,"9",1,0,0,1,0,1.20562057316056
90,1,0,5,0,0,1,"10",0,0,0,0,0,3.27781879271049
79,1,0,18,0,1,1,"10",1,0,0,0,0,3.10338833304523
84,2,0,16,-99,0,1,"2",1,1,0,2,0,1.36670285588117
60,3,1,9,1,0,0,"7",0,1,0,1,0,0.790820957055592
45,4,1,4,0,1,0,"9",1,0,1,2,0,1.13028886956608
87,0,0,9,0,1,0,"9",1,0,1,2,0,2.12786642443213
56,1,0,10,0,1,1,"10",1,0,1,0,0,0.846293550245664
44,0,0,15,0,0,1,"4",1,0,1,2,9,0.498245057383624
85,1,0,10,0,1,1,"10",0,0,1,0,0,1.13203991025769
54,1,1,15,0,0,0,"2",0,1,1,1,1,2.24244650331243
82,0,0,20,1,0,0,"4",0,0,1,1,2,0.722271186968744
65,4,0,8,0,1,1,"6",0,1,1,6,5,0.560446785520437
25,4,1,6,0,1,1,"10",1,1,1,4,1,0.670947134027525
84,2,11,6,0,1,1,"3",1,0,1,9,8,0.559938054779797
47,3,0,5,1,0,1,"1",0,1,0,4,0,1.11505939523522
18,1,2,8,-99,0,0,"7",0,1,0,2,0,1.59390011392953
28,4,1,6,0,1,1,"4",1,1,1,11,11,1.53977647620513
57,1,10,14,0,0,0,"7",0,0,1,7,7,0.682177161627235
89,4,7,13,0,1,0,"8",1,1,0,10,5,1.17479791552503
69,1,2,18,0,0,1,"3",0,0,1,0,0,0.751681708606962
68,4,12,4,0,1,1,"6",1,1,1,8,2,0.702656712173107
83,3,7,18,0,1,1,"8",0,0,0,0,0,1.33758555278392
88,1,0,13,0,1,1,"4",1,1,0,5,2,1.09593510429874
33,4,3,17,0,0,0,"2",0,1,1,9,11,0.817456064600913
70,3,7,16,0,1,1,"8",1,0,0,1,0,0.75168547295447
74,3,0,8,0,0,1,"6",0,0,0,0,0,0.673215321890447
88,1,0,14,0,1,0,"5",1,1,1,2,0,1.04380969751353
21,0,0,18,0,0,0,"7",1,0,1,2,0,1.33087145515042
22,2,7,9,1,0,1,"7",0,1,1,11,12,1.20185199839416
40,1,3,6,0,0,0,"3",0,0,1,3,2,0.987094063863588
59,1,9,13,-99,1,0,"3",1,1,0,0,0,0.598602258968789
87,1,0,9,0,1,1,"7",0,0,1,0,0,0.912127250976975
44,0,0,15,0,0,1,"8",0,0,1,2,4,0.996196018977486
83,4,8,13,0,1,1,"4",0,1,0,3,8,0.89807482027145
68,3,0,14,0,1,0,"9",1,1,1,2,0,1.02444215266967
43,1,0,15,1,0,0,"9",1,0,1,1,1,1.1313182308989
34,4,0,8,0,1,1,"9",1,0,1,1,0,1.00641200295866
67,1,1,19,0,1,1,"9",1,0,0,1,3,0.884540279330841
20,1,1,10,0,0,1,"7",0,0,1,2,0,0.704910721867015
28,2,1,6,0,0,0,"7",0,0,0,2,0,0.859827072715392
21,1,0,19,0,0,1,"5",1,1,1,4,2,1.38081227974638
78,2,2,14,0,1,1,"10",1,1,1,2,0,1.08426436315698
28,3,2,20,0,1,1,"8",1,1,0,2,3,1.64296428553751
26,0,0,17,0,0,1,"10",0,0,1,0,0,0.837528503985207
25,0,0,13,0,0,1,"10",0,0,1,1,1,0.839908844913107
92,2,2,13,0,1,0,"8",1,1,1,3,0,0.99331759940749
89,3,1,8,0,0,1,"8",0,1,0,1,1,1.1358949598504
76,4,0,14,0,1,1,"1",1,1,0,2,0,0.420459071462976
29,2,2,6,0,0,1,"5",0,1,0,5,11,0.424748659603555
66,4,0,15,0,1,1,"7",1,0,1,4,4,0.995283531793404
88,3,1,20,0,1,0,"2",0,0,0,1,1,0.987323191756835
70,0,1,13,0,-99,0,"7",0,1,0,1,3,1.00585792583069
69,0,1,19,0,0,0,"10",0,0,1,0,3,1.15040730985562
92,0,1,13,0,1,1,"8",0,1,1,3,3,0.625057939993984
29,2,1,13,1,0,0,"7",1,1,1,3,0,1.12377114921134
46,4,4,16,0,1,1,"6",1,1,1,10,9,0.529005830731213
60,4,2,5,1,1,0,"10",1,1,1,10,8,0.816399027478367
62,0,2,5,0,1,1,"10",1,0,1,0,0,1.79593765638469
42,0,0,16,0,0,1,"7",0,0,1,0,0,1.31592060730096
47,3,1,10,0,1,1,"7",1,1,1,7,7,1.24588466194098
80,2,0,17,0,1,1,"9",1,0,0,0,0,2.33921408789488
69,3,4,15,0,1,1,"4",1,1,0,5,12,0.598056182162209
57,1,2,19,0,0,0,"2",1,0,1,0,0,1.70017052028849
63,0,0,8,0,1,1,"9",1,1,1,3,2,1.05040271708042
59,2,0,7,0,1,1,"3",1,0,1,4,0,1.15546867987547
44,3,4,5,0,1,1,"5",1,1,1,9,5,0.770446707276811
42,0,1,9,1,0,1,"10",0,0,1,0,0,1.30924723592386
20,3,3,11,0,0,1,"3",1,1,1,3,0,1.26671251555525
35,3,0,5,0,1,1,"9",1,1,1,5,2,0.887959117223066
42,1,1,6,0,0,0,"1",0,0,1,2,0,0.676873795901567
67,4,3,6,0,0,0,"3",0,1,0,1,3,1.3735534355025
88,4,1,5,0,0,1,"8",1,0,0,1,1,1.5804083179411
21,1,1,9,0,0,1,"9",0,1,1,0,0,0.660054125861321
36,1,4,15,0,1,1,"6",1,0,0,1,0,0.944175131600232
21,4,0,4,0,1,1,"8",1,1,1,4,1,0.694055482348443
68,4,0,14,0,1,1,"5",0,0,1,5,1,0.378491844917684
53,1,5,7,0,1,1,"2",1,1,0,10,4,0.946405444530285
57,1,0,13,1,0,0,"6",0,1,1,4,2,1.06266020389492
57,1,1,14,0,0,0,"4",0,0,1,0,0,0.846918710637849
57,3,0,18,0,1,0,"8",1,1,0,11,2,0.867600172954269
50,0,9,13,0,1,1,"6",1,0,0,2,1,0.627076255190754
60,3,1,19,0,1,1,"3",0,0,0,0,1,1.06737452142126
87,3,0,8,1,1,0,"5",1,1,1,7,2,1.20561265473096
82,3,0,12,0,1,0,"4",1,0,1,3,0,1.17796605102687
87,1,0,15,0,1,1,"5",1,0,1,1,1,1.24169954491464
80,3,3,13,0,1,1,"10",0,0,1,0,0,1.23208761950404
61,3,3,7,0,1,0,"8",0,1,1,10,2,0.305343331872485
91,2,12,12,0,1,1,"5",1,0,0,0,0,1.25780095110475
31,3,5,14,1,0,1,"4",1,1,1,10,8,0.967803475102666
80,3,0,19,0,1,0,"8",1,0,0,1,0,0.540839579471425
31,0,0,16,1,0,1,"5",1,0,1,0,3,0.694347955895426
70,3,0,5,0,0,0,"5",0,1,0,2,4,0.544391221722769
40,4,1,19,0,1,0,"7",1,1,1,11,6,1.08815670066497
60,3,2,16,1,0,1,"1",0,0,1,4,0,1.00396999390042
82,1,0,5,0,0,0,"9",1,0,0,0,1,0.707083537993251
18,1,0,14,1,0,1,"7",1,0,1,3,0,0.976428566428753
38,3,11,4,0,1,1,"5",1,1,1,12,8,1.10701431110301
71,2,0,6,0,0,0,"5",0,1,0,1,4,0.802650975124937
32,4,2,11,0,0,1,"10",1,1,0,2,0,0.552077466399072
32,4,0,18,0,0,0,"6",0,0,1,1,0,3.73190784700111
71,2,0,4,0,0,0,"5",0,1,0,3,2,0.760103050831431
39,4,11,13,-99,0,1,"3",0,0,0,0,0,0.659087756638599
36,0,7,12,0,0,0,"7",1,0,1,4,4,0.776404770010871
20,2,0,6,0,0,0,"10",1,0,0,0,2,0.804257027091056
51,4,4,9,0,1,1,"1",1,1,1,11,12,1.29269065467523
38,1,3,11,0,0,0,"7",0,1,1,0,0,0.758648637642312
71,4,0,17,0,1,1,"5",1,0,1,3,0,1.94649538319163
39,4,5,4,0,1,1,"6",1,1,1,5,1,0.533091979317963
69,4,1,8,1,0,1,"6",1,0,0,1,2,0.457728962487392
41,1,1,8,1,0,0,"3",1,1,1,8,10,0.886157173185511
82,2,2,5,0,1,1,"7",0,0,1,2,1,0.954250071740786
34,0,2,5,0,0,1,"3",0,0,1,0,1,0.544123527813217
47,4,0,20,0,1,0,"4",1,0,0,0,4,1.08444035055173
79,0,0,12,0,1,0,"5",1,1,0,0,3,0.841171807508062
36,4,0,5,0,0,1,"5",1,1,0,9,1,1.19024175522672
43,0,6,7,1,0,1,"8",0,1,1,3,1,1.19179387860076
72,0,0,15,1,0,0,"9",0,1,1,1,1,0.864819025947153
87,1,1,6,0,0,0,"9",0,0,0,0,0,1.26118264795598
33,2,0,15,0,0,0,"4",0,0,1,1,1,1.7280511353815
18,4,0,19,0,0,0,"2",0,0,1,5,0,0.816603616388115
27,3,1,18,0,0,0,"7",0,0,1,2,0,1.31846953119888
22,2,9,9,0,0,0,"7",1,1,1,5,0,0.810427874485111
49,3,1,4,0,0,1,"9",1,0,0,1,0,0.963597610145721
30,2,3,16,0,1,0,"10",1,1,0,6,2,0.89959387882596
71,1,1,18,0,0,0,"3",0,1,1,3,4,0.681764007498917
36,0,0,20,0,0,1,"2",1,0,1,2,0,0.863946264263756
86,4,2,15,0,1,1,"9",0,1,1,5,4,0.532981958658102
39,2,0,7,0,0,1,"6",0,0,0,2,1,0.873659120223693
70,1,1,14,0,1,1,"8",1,0,0,1,0,0.966581044990619
55,1,0,12,0,1,1,"7",1,0,1,5,6,0.656693693528016
17,2,1,5,0,0,0,"10",1,1,0,2,0,0.728999109840453
50,4,0,8,0,0,0,"6",0,0,0,0,0,0.665357924762705
23,0,0,17,0,1,1,"10",1,0,0,2,0,0.582158178754942
25,1,2,4,-99,1,0,"3",0,0,0,1,2,0.835404698193263
18,2,0,8,0,0,1,"6",0,0,0,0,0,1.52419738077999
87,0,0,19,0,1,1,"7",1,0,1,0,1,1.14388933051576
36,1,0,17,0,1,1,"10",1,1,0,4,0,0.899262172321717
42,3,0,12,0,1,1,"10",1,1,1,4,4,0.790597928916332
34,2,0,14,0,1,1,"4",0,1,0,11,2,0.681031868020867
70,3,7,13,0,1,1,"5",1,0,0,12,11,0.763861556888307
63,2,1,15,0,1,0,"7",1,1,0,3,10,0.612034745074542
87,0,0,8,0,1,0,"7",1,1,1,1,0,0.557823986194732
17,3,5,20,0,1,1,"9",1,0,0,0,0,1.38413522306892
91,3,1,17,0,1,1,"6",1,0,0,1,0,2.25627444112483
76,1,9,10,0,0,0,"2",0,0,1,2,1,0.596522047239301
84,2,3,15,0,1,0,"5",1,1,0,0,5,1.02979532347313
59,1,0,18,0,0,0,"3",1,0,1,0,8,0.75402478063686
75,0,4,11,0,1,0,"3",0,1,0,5,2,1.2773595690429
25,0,0,8,0,0,1,"3",0,0,1,1,1,1.73752009367447
63,0,0,16,1,0,0,"10",0,0,1,0,0,0.713544318132484
37,1,3,9,0,0,1,"4",0,0,1,1,0,0.744769702330308
84,0,11,14,0,1,0,"8",0,0,0,3,9,1.07526554599233
64,0,0,18,0,0,1,"3",0,1,1,0,1,1.11771690761045
56,4,2,12,0,1,1,"7",1,0,1,2,2,0.676245007106273
56,2,0,17,0,1,1,"6",1,0,0,2,3,1.07700111871502
91,0,0,15,0,1,1,"9",1,0,1,1,0,1.40415722359595
52,4,0,7,0,1,0,"6",1,1,1,9,6,0.709740404757257
74,3,0,6,0,1,0,"8",0,1,1,2,0,1.24158892339097
88,3,1,6,0,0,1,"10",1,0,0,2,0,0.570375817373877
51,3,0,8,0,0,0,"9",1,0,0,0,4,0.554325827200895
72,0,0,6,0,0,1,"9",0,0,0,0,1,1.46241452300735
83,2,1,4,0,1,0,"10",0,0,1,1,1,0.707309513143165
73,3,2,5,0,1,0,"6",1,0,1,1,0,0.605744622766969
56,0,0,17,0,1,1,"6",0,0,0,0,0,1.35397666008475
76,4,0,13,0,1,1,"10",0,0,1,1,0,0.794378199113715
25,2,0,18,0,0,1,"6",0,1,1,3,0,0.59140589817824
90,2,10,4,1,0,0,"1",0,0,1,3,2,0.629953111573042
78,0,1,11,0,1,1,"8",1,0,1,1,0,1.22792327738927
59,1,2,5,0,0,1,"6",0,1,0,0,4,0.624116540826513
48,3,2,7,0,0,1,"8",1,1,0,7,0,0.469719688057504
84,0,0,13,0,1,1,"5",1,0,1,0,0,1.50265289966948
61,3,0,8,1,0,0,"4",0,0,0,0,7,0.766239289834267
52,3,1,4,0,0,1,"9",1,1,0,3,0,1.4848036531657
63,4,0,9,0,1,1,"8",0,1,1,2,0,1.09098716922174
78,3,0,16,0,1,1,"10",0,0,1,2,0,1.40060056632757
17,0,0,6,0,0,1,"7",0,0,1,0,0,1.15710591123284
48,3,2,17,0,0,0,"3",0,0,1,1,0,0.68706664808992
29,2,0,5,0,0,1,"7",0,1,0,5,7,1.02101991833786
41,0,0,15,0,0,0,"5",0,0,1,1,1,0.694780465456316
69,4,0,12,0,0,0,"10",0,0,0,1,2,0.928146576678146
74,2,0,16,0,1,1,"10",0,0,1,0,0,2.31167750372888
72,2,0,11,0,1,0,"7",1,0,1,1,0,1.67319160765429
29,2,7,5,0,0,1,"4",0,0,0,0,1,1.06799549853473
21,0,0,19,0,0,1,"7",0,1,1,8,9,0.537071910178483
27,0,2,4,0,0,1,"5",0,1,0,2,0,1.33787538303125
28,0,1,8,0,0,0,"3",0,0,1,2,0,0.70594776738429
73,1,4,6,0,1,1,"5",1,0,1,0,0,0.792999701828961
